REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,FHE_GRANTEES,SEX_M,SEX_F,NOT_INDICATED,YEAR
16 - Caraga,North Eastern Mindanao State University (Sdssu),SUC,CITY OF TANDAG (CAPITAL),SURIGAO DEL SUR,9956,4416.0,5538.0,2.0,2018-2019
16 - Caraga,Surigao State College Of Technology,SUC,CITY OF SURIGAO (CAPITAL),SURIGAO DEL NORTE,10375,5402.0,4965.0,8.0,2018-2019
17 - MIMAROPA,Baco Community College,LUC,BACO,ORIENTAL MINDORO,138,51.0,87.0,0.0,2018-2019
17 - MIMAROPA,City College Of Calapan,LUC,CITY OF CALAPAN (CAPITAL),ORIENTAL MINDORO,437,153.0,284.0,0.0,2018-2019
17 - MIMAROPA,Marinduque State College,SUC,BOAC (CAPITAL),MARINDUQUE,4663,2181.0,2482.0,0.0,2018-2019
17 - MIMAROPA,Mindoro State University,SUC,VICTORIA,ORIENTAL MINDORO,5899,2349.0,3550.0,0.0,2018-2019
17 - MIMAROPA,Occidental Mindoro State College,SUC,SAN JOSE,OCCIDENTAL MINDORO,8153,3328.0,4825.0,0.0,2018-2019
17 - MIMAROPA,Palawan State University,SUC,CITY OF PUERTO PRINCESA (CAPITAL),PALAWAN,16895,7025.0,9815.0,55.0,2018-2019
17 - MIMAROPA,Romblon State University,SUC,ODIONGAN,ROMBLON,8601,3956.0,4645.0,0.0,2018-2019
17 - MIMAROPA,Western Philippines University,SUC,ABORLAN,PALAWAN,6775,2911.0,3864.0,0.0,2018-2019
01 - Ilocos Region,Binalatongan Community College,LUC,SAN CARLOS CITY,PANGASINAN,1350,0.0,0.0,1350.0,2019-2020
01 - Ilocos Region,Don Mariano Marcos Memorial State University,SUC,SAN FERNANDO CITY,LA UNION,12768,0.0,0.0,12768.0,2019-2020
01 - Ilocos Region,Ilocos Sur Community College,LUC,VIGAN CITY,ILOCOS SUR,1354,579.0,775.0,0.0,2019-2020
01 - Ilocos Region,Ilocos Sur Polytechnic State College,SUC,SANTA MARIA,ILOCOS SUR,5003,2622.0,2378.0,3.0,2019-2020
01 - Ilocos Region,Mariano Marcos State University,SUC,BATAC CITY,ILOCOS NORTE,8517,3593.0,4924.0,0.0,2019-2020
01 - Ilocos Region,North Luzon Philippines State College,SUC,CANDON CITY,ILOCOS SUR,2686,1217.0,1469.0,0.0,2019-2020
01 - Ilocos Region,Pangasinan State University,SUC,LINGAYEN,PANGASINAN,19083,8246.0,10837.0,0.0,2019-2020
01 - Ilocos Region,University Of Eastern Pangasinan,LUC,BINALONAN,PANGASINAN,2366,1043.0,1323.0,0.0,2019-2020
01 - Ilocos Region,University Of Northern Philippines,SUC,VIGAN CITY,ILOCOS SUR,9008,4152.0,4851.0,5.0,2019-2020
