REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,FHE_GRANTEES,SEX_M,SEX_F,NOT_INDICATED,YEAR
03 - Central Luzon,Gordon College,LUC,CITY OF OLONGAPO,ZAMBALES,4159,1648,2511,,2019-2020
03 - Central Luzon,Guagua Community College,LUC,GUAGUA,PAMPANGA,426,171,255,,2019-2020
03 - Central Luzon,Kolehiyo Ng Subic,LUC,CITY OF OLONGAPO,ZAMBALES,2798,1204,1594,,2019-2020
03 - Central Luzon,Mabalacat City College,LUC,MABALACAT CITY,PAMPANGA,3315,1458,1857,,2019-2020
03 - Central Luzon,Norzagaray College,LUC,NORZAGARAY,BULACAN,915,364,551,,2019-2020
03 - Central Luzon,Nueva Ecija University Of Science And Technology,SUC,CITY OF CABANATUAN,NUEVA ECIJA,19937,9225,10712,,2019-2020
03 - Central Luzon,Pambayang Dalubhasaan Ng Marilao,LUC,MARILAO,BULACAN,1523,688,833,2,2019-2020
03 - Central Luzon,Pampanga State Agricultural University,SUC,MAGALANG,PAMPANGA,4711,2336,2375,,2019-2020
03 - Central Luzon,Philippine Merchant Marine Academy,SUC,SAN NARCISO,ZAMBALES,943,-,-,943,2019-2020
03 - Central Luzon,Polytechnic College Of Botolan,LUC,BOTOLAN,ZAMBALES,709,300,409,,2019-2020
03 - Central Luzon,Polytechnic College Of The City Of Meycauayan,LUC,CITY OF MEYCAUAYAN,BULACAN,986,334,652,,2019-2020
03 - Central Luzon,President Ramon Magsaysay State University,SUC,IBA (CAPITAL),ZAMBALES,8965,4439,4526,,2019-2020
03 - Central Luzon,Tarlac Agricultural University,SUC,CAMILING,TARLAC,4873,2281,2592,,2019-2020
03 - Central Luzon,Tarlac State University,SUC,CITY OF TARLAC (CAPITAL),TARLAC,15463,7225,8238,,2019-2020
04 - CALABARZON,Antipolo Institute Of Technology (Aitech),LUC,CITY OF ANTIPOLO (CAPITAL),RIZAL PROVINCE,266,146,120,,2019-2020
04 - CALABARZON,Balian Community College,LUC,PANGIL,LAGUNA,270,65,205,,2019-2020
04 - CALABARZON,Batangas State University,SUC,BATANGAS CITY (CAPITAL),BATANGAS,26691,11453,15238,,2019-2020
04 - CALABARZON,Cavite State University,SUC,INDANG,CAVITE,41838,18553,23285,,2019-2020
04 - CALABARZON,City College Of Calamba,LUC,CITY OF CALAMBA,LAGUNA,1749,621,1128,,2019-2020
